algorithm,n,time
cubic,468,0.39931535720825195
cubic,660,0.4611227512359619
cubic,660,0.39397549629211426
cubic,660,0.43361973762512207
cubic,660,0.43268275260925293
cubic,660,0.40972471237182617
cubic,931,0.5115036964416504
cubic,931,0.4722325801849365
cubic,931,0.49106884002685547
cubic,931,0.5151426792144775
cubic,931,0.5359034538269043
cubic,1313,0.7433691024780273
cubic,1313,0.7458891868591309
cubic,1313,0.8239877223968506
cubic,1313,0.7923710346221924
cubic,1313,0.7492780685424805
cubic,1852,1.3281893730163574
cubic,1852,1.0207974910736084
cubic,1852,1.2558045387268066
cubic,1852,1.2244713306427002
cubic,1852,1.1890335083007812
cubic,2611,2.564723014831543
cubic,2611,2.056431531906128
cubic,2611,1.9910342693328857
cubic,2611,1.9598994255065918
cubic,2611,2.6021289825439453
cubic,3682,5.152260780334473
cubic,3682,4.994647026062012
cubic,3682,5.023120880126953
cubic,3682,6.479286432266235
cubic,3682,6.445553541183472
cubic,5192,17.71129560470581
cubic,5192,17.664527654647827
cubic,5192,13.325448751449585
cubic,5192,12.893692255020142
cubic,5192,17.704358100891113
hashmap,30,0.3900308609008789
hashmap,30,0.36415815353393555
hashmap,30,0.33834123611450195
hashmap,30,0.32581210136413574
hashmap,30,0.3298523426055908
hashmap,42,0.32397913932800293
hashmap,42,0.3493490219116211
hashmap,42,0.31186795234680176
hashmap,42,0.35779738426208496
hashmap,42,0.32294297218322754
hashmap,59,0.3484506607055664
hashmap,59,0.33414435386657715
hashmap,59,0.36602139472961426
hashmap,59,0.33738160133361816
hashmap,59,0.3235619068145752
hashmap,84,0.33425402641296387
hashmap,84,0.3496520519256592
hashmap,84,0.32991552352905273
hashmap,84,0.349884033203125
hashmap,84,0.31098461151123047
hashmap,118,0.4006929397583008
hashmap,118,0.3508107662200928
hashmap,118,0.3816969394683838
hashmap,118,0.39090871810913086
hashmap,118,0.3709068298339844
hashmap,167,0.35541844367980957
hashmap,167,0.34789347648620605
hashmap,167,0.3495206832885742
hashmap,167,0.36577320098876953
